Date,Price,Open,High,Low,Vol.,Change %
09/20/2021,1458.66,1468.11,1474.66,1454.95,180.84K,0.21%
09/17/2021,1455.59,1452.31,1459.94,1451.38,188.92K,0.46%
09/16/2021,1448.98,1452.89,1454.23,1442.77,134.63K,0.29%
09/15/2021,1444.85,1433.17,1447.64,1432.76,130.11K,0.47%
09/14/2021,1438.16,1444.24,1448.71,1436.98,148.17K,-0.47%
09/13/2021,1444.99,1450,1454.72,1444.71,162.87K,-0.23%
09/10/2021,1448.33,1451.78,1453.81,1447.44,139.15K,0.07%
09/09/2021,1447.28,1432.84,1449.16,1431.55,166.19K,0.95%
09/08/2021,1433.71,1447.43,1448.44,1431.38,152.21K,-0.72%
09/07/2021,1444.1,1446,1454.82,1441.69,205.27K,0.18%
09/06/2021,1441.54,1433.03,1441.92,1429.55,208.74K,1.02%
09/01/2021,1426.94,1425.35,1434.73,1423.08,176.64K,-0.12%
08/31/2021,1428.66,1435.52,1437.38,1425.71,152.48K,-0.17%
08/30/2021,1431.05,1427.48,1434.25,1420.77,154.14K,0.88%
08/27/2021,1418.57,1403.99,1418.57,1391.88,202.51K,0.43%
08/26/2021,1412.45,1432.37,1433.67,1408.08,152.19K,-1.12%
08/25/2021,1428.51,1420.74,1430.58,1411.07,153.26K,0.72%
08/24/2021,1418.26,1415.71,1423.46,1406.94,203.69K,0.44%
08/23/2021,1412,1443.67,1446.73,1412,250.64K,-2.65%
08/20/2021,1450.45,1495.67,1497.03,1436.24,348.77K,-3.63%
08/19/2021,1505.01,1489.74,1505.01,1479.6,206.50K,1.04%
08/18/2021,1489.54,1493.12,1500.17,1484.26,192.68K,-0.31%
08/17/2021,1494.12,1508.41,1512.27,1488.74,217.18K,-0.44%
08/16/2021,1500.77,1490.7,1504.03,1487.52,258.60K,1.11%
08/13/2021,1484.25,1477.72,1484.67,1463.48,207.22K,0.49%
08/12/2021,1477.06,1487.1,1493.69,1477.06,184.22K,-0.73%
08/11/2021,1487.91,1497.13,1506.8,1487.91,245.34K,-0.43%
08/10/2021,1494.41,1506.5,1508.92,1490,185.39K,-0.23%
08/09/2021,1497.83,1472.78,1499.9,1467.32,206.12K,1.42%
08/06/2021,1476.79,1488.11,1491.52,1476.79,211.70K,-0.65%
08/05/2021,1486.46,1469.13,1488.79,1465.1,193.62K,0.97%
08/04/2021,1472.2,1476.82,1480.28,1465.66,218.55K,0.16%
08/03/2021,1469.87,1449.97,1469.87,1449.33,225.71K,1.50%
08/02/2021,1448.21,1443.6,1457.89,1438.35,198.50K,0.07%
07/30/2021,1447.23,1430.48,1451.45,1428.85,224.34K,1.38%
07/29/2021,1427.55,1419.55,1427.55,1413.59,166.49K,1.42%
07/28/2021,1407.5,1406.25,1415.39,1402.6,120.70K,-0.17%
07/27/2021,1409.85,1415.5,1423.3,1408.8,190.31K,0.42%
